Question,Answer
What defines a large language model (LLM)?,"An LLM is a Transformer-based model with hundreds of millions to billions of parameters, pre-trained on massive text corpora. Examples include GPT-3, BERT, and PaLM. LLMs can perform a wide range of tasks through zero-shot, few-shot, or fine-tuned learning."
How are LLMs fine-tuned for downstream tasks?,"LLMs are fine-tuned by training them on task-specific data with supervised objectives. Methods like prompt tuning, adapter layers, or full model fine-tuning can be used depending on resource constraints."
What are some challenges in deploying LLMs?,"Challenges include high computational costs, memory requirements, ethical concerns like bias and misinformation, and difficulties in interpretability and control. Techniques like quantization and distillation help with efficient deployment."
What are diffusion models in generative modeling?,"Diffusion models generate data by simulating a reverse diffusion process that gradually denoises a sample from pure noise. They have shown state-of-the-art results in image generation, outperforming GANs in terms of quality and stability."
How does training work in diffusion models?,"Diffusion models are trained by learning to reverse a fixed noise process. A neural network is trained to predict the noise component at each step, minimizing a loss function like mean squared error between predicted and actual noise."
What are the advantages of diffusion models over GANs?,"Diffusion models offer more stable training and generate higher-fidelity outputs. Unlike GANs, they are less prone to mode collapse and are easier to train, though they are computationally more expensive."
How are diffusion models used in text-to-image generation?,"Text-to-image diffusion models, such as Stable Diffusion, use a conditioning mechanism to incorporate textual prompts into the generation process. This allows for precise control over the content of the generated image."
What is multimodal learning in machine learning?,"Multimodal learning refers to models that integrate and process data from multiple modalities, such as text, images, audio, or video. This enables richer representations and better performance on tasks that require cross-modal reasoning."
How are different modalities aligned in multimodal learning?,"Common techniques include shared embedding spaces, cross-modal attention, and contrastive learning objectives. These help the model learn semantic correspondences across modalities."
What are applications of multimodal models?,"Applications include text-to-image generation (e.g., DALL·E), video captioning, visual question answering, speech-to-text, and cross-modal retrieval."
What is self-supervised learning and how does it differ from supervised learning?,"Self-supervised learning (SSL) learns useful representations from unlabeled data by designing proxy tasks, such as predicting masked parts of input. It requires no manual labels, unlike supervised learning."
What are some popular SSL methods in computer vision?,"Examples include SimCLR, MoCo, BYOL, and DINO. These methods use contrastive loss, momentum encoders, and data augmentations to learn invariant features."
How is self-supervised learning applied in NLP?,"Techniques like masked language modeling (e.g., BERT) and causal language modeling (e.g., GPT) enable pretraining on large corpora and fine-tuning on downstream tasks."
What is federated learning?,"Federated learning enables training machine learning models across multiple decentralized devices or servers without sharing raw data, preserving user privacy."
What are key challenges in federated learning?,"Challenges include communication efficiency, data heterogeneity across clients, model convergence, and ensuring robustness against adversarial clients."
How is privacy ensured in federated learning?,"Techniques include differential privacy, secure aggregation protocols, and homomorphic encryption to ensure that sensitive data is not leaked during training."
Why is causal inference important in ML?,"Causal inference allows us to go beyond correlation and understand the effect of interventions, which is crucial for decision-making and interpretability in AI systems."
What are common tools for causal inference in ML?,"Tools include structural causal models (SCM), do-calculus, propensity score matching, and counterfactual reasoning."
How is causal inference integrated with deep learning?,"Recent approaches use deep structural causal models, differentiable causal graphs, or combine with reinforcement learning to learn causal representations."
What is neural rendering?,"Neural rendering combines computer graphics and deep learning to synthesize realistic images from 3D data or novel viewpoints. It includes methods like NeRF, which uses neural networks to represent volumetric scenes."
What is NeRF and why is it significant?,Neural Radiance Fields (NeRF) is a model that learns to synthesize novel views of a scene by modeling the radiance field with a neural network. It achieves photo-realistic rendering from sparse input views.
How are 3D scenes reconstructed from 2D images?,"Techniques include multi-view stereo, structure from motion, and deep learning models like NeRF, which use image consistency and ray tracing to estimate 3D structure."
What is AutoML?,"AutoML automates the process of designing machine learning pipelines, including data preprocessing, model selection, and hyperparameter tuning, reducing the need for expert intervention."
What is Neural Architecture Search (NAS)?,"NAS is a subfield of AutoML that automates the design of neural network architectures. Techniques include reinforcement learning, evolutionary algorithms, and gradient-based methods like DARTS."
What are the trade-offs in NAS methods?,Trade-offs include computational cost vs. search quality. Efficient NAS methods like ENAS and ProxylessNAS attempt to reduce search time without sacrificing performance.
What is edge computing in the context of AI?,"Edge computing refers to processing data closer to the data source (e.g., sensors or mobile devices) rather than in a centralized cloud. It reduces latency, conserves bandwidth, and enables real-time inference for AI applications."
What are the benefits of deploying AI on edge devices?,"Benefits include lower latency, improved privacy, reduced data transmission costs, and greater reliability in disconnected or bandwidth-limited environments."
What are challenges in edge AI deployment?,"Challenges include limited computational resources, power constraints, model compression needs, and ensuring robust and secure operation in diverse environments."
What is a knowledge graph in AI?,"A knowledge graph is a structured representation of entities and their relationships, often used to capture semantic information and support reasoning, search, and recommendation systems."
How are knowledge graphs constructed?,"Knowledge graphs are built using techniques such as information extraction, entity linking, relation extraction, and manual or semi-automated curation from structured or unstructured data."
What are applications of knowledge graphs in machine learning?,"Applications include question answering, recommendation systems, semantic search, fraud detection, and enhancing the interpretability of AI models."
What is AI safety and why is it important?,"AI safety involves ensuring that AI systems operate reliably, transparently, and in alignment with human values, especially in high-stakes domains like healthcare, autonomous driving, and general AI development."
What are some major concerns in AI safety?,"Concerns include misaligned objectives, unintended behaviors, adversarial attacks, lack of robustness, and risks associated with highly capable AI systems."
How can AI systems be made safer?,"Techniques include interpretability tools, robust training methods, safe reinforcement learning, human-in-the-loop systems, and formal verification to validate behavior under various conditions."
What is quantum computing and how does it differ from classical computing?,"Quantum computing uses quantum bits (qubits) that can exist in superpositions and exhibit entanglement, allowing certain problems to be solved exponentially faster than with classical computers."
What are quantum algorithms relevant to machine learning?,"Algorithms such as the quantum support vector machine, quantum principal component analysis, and the HHL algorithm for solving linear systems are foundational to quantum machine learning."
What are current limitations of quantum computing in AI?,"Limitations include hardware instability (decoherence), error rates, limited qubit counts, and a lack of scalable quantum memory. Most quantum machine learning remains theoretical or proof-of-concept."
What is AI for Science?,"AI for Science refers to the use of artificial intelligence methods to accelerate scientific discovery, modeling, and analysis across fields such as physics, biology, chemistry, and climate science."
How is AI used in scientific discovery?,"AI helps automate hypothesis generation, design experiments, analyze large datasets, and model complex systems. For example, AlphaFold uses deep learning to predict protein structures with high accuracy."
What are challenges in applying AI to scientific domains?,"Challenges include integrating domain knowledge, handling sparse or noisy data, ensuring interpretability, and validating results with physical or biological constraints."
What is Explainable AI (XAI)?,Explainable AI aims to make machine learning models more transparent and understandable to humans by providing reasons for their decisions and behaviors.
Why is interpretability important in AI systems?,"Interpretability helps build trust, debug models, ensure fairness, and comply with legal and ethical standards, especially in high-stakes applications like healthcare or finance."
What are common methods for explaining model predictions?,"Methods include feature importance (e.g., SHAP, LIME), saliency maps, surrogate models, counterfactual explanations, and attention visualization for neural networks."
What is Human-AI Interaction?,"Human-AI Interaction studies how people interact with AI systems, aiming to design interfaces, feedback mechanisms, and behaviors that make AI more usable, trustworthy, and collaborative."
How can AI systems be made more user-friendly?,"By incorporating natural language interfaces, interactive visualizations, personalized recommendations, adaptive learning, and explanations that match the user's knowledge level."
What are key challenges in human-AI collaboration?,"Challenges include managing user trust, avoiding over-reliance or under-reliance, aligning system behavior with user intent, and handling ambiguity in communication."
What is a digital twin in the context of AI?,"A digital twin is a virtual replica of a physical system that uses real-time data and AI models to simulate, predict, and optimize its behavior and performance."
What are applications of digital twins?,"Applications span manufacturing, healthcare, smart cities, logistics, and energy systems—enabling predictive maintenance, scenario testing, and real-time monitoring."
What are technical challenges in building digital twins?,"Challenges include integrating heterogeneous data sources, real-time synchronization, high-fidelity modeling, and ensuring scalability and security of simulations."
What are generative agents in AI?,"Generative agents are AI systems that simulate human-like behaviors and personalities over time using models such as large language models (LLMs), memory modules, and behavior planning algorithms."
How do generative agents simulate realistic behavior?,"They use a combination of memory recall, goal-setting, reasoning, and interaction histories to generate context-aware, temporally consistent actions and dialogues."
What are potential applications of generative agents?,"Applications include NPCs in games and virtual worlds, digital companions, social simulations, and testing environments for human-AI interaction studies."
What is a foundation model?,"A foundation model is a large-scale, pre-trained model (like GPT, CLIP, or PaLM) that serves as a base for a wide range of downstream tasks through fine-tuning or prompting."
Why are foundation models significant in AI development?,"They enable transfer learning across domains, reduce the need for task-specific models, and unify diverse tasks under a single framework, but also raise concerns around compute, bias, and centralization."
What are challenges with foundation models?,"Challenges include massive training costs, data transparency, safety, interpretability, and the risk of overgeneralization or misuse in unintended contexts."
What is AI governance?,"AI governance refers to the frameworks, policies, and institutions that guide the development and deployment of AI systems to ensure they are safe, fair, accountable, and aligned with societal values."
What are key concerns in AI governance?,"Concerns include algorithmic bias, surveillance, misinformation, job displacement, power concentration, and ensuring democratic oversight of powerful AI systems."
What strategies exist for responsible AI development?,"Strategies include regulatory frameworks, AI ethics guidelines, red-teaming, risk assessments, algorithmic audits, and participatory design involving diverse stakeholders."
What is Embodied AI?,"Embodied AI focuses on agents that learn and act through interactions with the physical or simulated world, integrating perception, decision-making, and control—often through robotics or virtual environments."
How is Embodied AI different from traditional AI systems?,"Unlike disembodied models trained on static data, Embodied AI learns through exploration, sensorimotor feedback, and real-time interactions, making it suitable for tasks like navigation and manipulation."
What are common research platforms for Embodied AI?,"Platforms include embodied simulators like Habitat, AI2-THOR, and physical robots such as Spot or TurtleBot. These environments allow safe and scalable experimentation with embodied agents."
What is neurosymbolic AI?,Neurosymbolic AI combines neural networks with symbolic reasoning systems to leverage the strengths of both: pattern recognition from neural methods and logical inference from symbolic methods.
Why is neurosymbolic AI important?,"It enables better generalization, interpretability, and data efficiency, especially for tasks requiring reasoning, common sense, or handling structured knowledge."
What are applications of neurosymbolic systems?,"Applications include knowledge graph reasoning, visual question answering with logic, program synthesis, and explainable AI systems."
What is data-centric AI?,"Data-centric AI focuses on systematically improving the quality, labeling, and diversity of training data rather than solely tuning models, which leads to more robust and reliable AI systems."
How is data quality ensured in data-centric AI?,"Techniques include data validation, label auditing, active learning, data augmentation, and using human-in-the-loop pipelines for refinement."
What are benefits of a data-centric approach?,"Improved generalization, reduced overfitting, better model fairness, and faster development cycles by focusing on the core fuel of machine learning: the data."
How is AI used in robotics?,"AI powers perception, planning, and control modules in robotics, enabling tasks such as object recognition, path planning, grasping, and autonomous navigation."
What are common AI techniques used in robotics?,"Common methods include deep reinforcement learning, imitation learning, SLAM (Simultaneous Localization and Mapping), and computer vision algorithms for scene understanding."
What are challenges in applying AI to robotics?,"Challenges include sim-to-real transfer, data scarcity, real-time constraints, robustness to uncertainty, and safe human-robot interaction."
How is AI transforming healthcare?,"AI assists in diagnosis, treatment planning, drug discovery, medical imaging analysis, and patient monitoring, improving efficiency and accuracy in healthcare delivery."
What are key challenges in healthcare AI?,"Challenges include data privacy, model interpretability, regulatory approval, bias in datasets, and integration into clinical workflows."
What are examples of AI applications in medicine?,"Examples include detecting diseases from X-rays or MRIs, personalized medicine using genomic data, predicting patient deterioration, and chatbot-based mental health support."
